Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
30,1993,Dallas,"Dallas-Fort Worth-Arlington, TX",2250484,2398501,148017,0.061712294,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
31,1993,Houston,"Houston-Sugar Land-Baytown, TX",2008180,2169480,161300,0.074349614,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
32,1993,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",1977352,2157398,180046,0.083455162,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
33,1993,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7859947,8581388,721441,0.084070432,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
34,1993,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2548072,2734868,186796,0.068301651,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
35,1993,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2340478,2453809,113331,0.046185746,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
36,1994,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1836847,1925436,88589,0.046009839,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
37,1994,Bay Area,Bay Area,3136142,3341354,205212,0.061415821,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
38,1994,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4175355,4443726,268371,0.060393238,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
39,1994,Dallas,"Dallas-Fort Worth-Arlington, TX",2332375,2466311,133936,0.054306209,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
40,1994,Houston,"Houston-Sugar Land-Baytown, TX",2056583,2205309,148726,0.067439982,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
41,1994,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2043708,2216653,172945,0.078020782,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
42,1994,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7955487,8573602,618115,0.072095136,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
43,1994,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2574771,2741353,166582,0.060766344,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
44,1994,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2395788,2497933,102145,0.040891809,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
45,1995,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1897397,1981549,84152,0.042467787,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
46,1995,Bay Area,Bay Area,3153493,3334460,180967,0.054271756,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
47,1995,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4261785,4505546,243761,0.054102433,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
48,1995,Dallas,"Dallas-Fort Worth-Arlington, TX",2399409,2520008,120599,0.047856594,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
49,1995,Houston,"Houston-Sugar Land-Baytown, TX",2100738,2234762,134024,0.059972382,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
50,1995,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2092491,2250820,158329,0.070342808,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
51,1995,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8041044,8613647,572603,0.066476256,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
52,1995,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2584643,2741772,157129,0.057309288,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
